name,address
Restaurant Mazaj,"ADRESSE: Rue om el banin Mutuelleville Tunis Grand Tunis Les coordonnées: 36.838573, 10.169044"
Pizza Del Mondo,"ADRESSE: 38 Avenue Moheddine Klibi El Manar 2 (près clinique Avicenne) Tunis Grand Tunis Les coordonnées: 36.842209, 10.159569"
MIAM'S BURGER,"ADRESSE: Mutuelleville , 07 Rue Omar Ibn Abdelaziz Tunis Les coordonnées: 36.834309, 10.173554"
Baguette Marsa,"ADRESSE: Avenue de la Mosquée Grand Tunis Les coordonnées: 36.883076, 10.332998"
Victor Hugo,"ADRESSE: Marsa Rue Victor Hugo Grand Tunis Les coordonnées: 36.878986, 10.332442"
Les Coquillages,"ADRESSE: 11, rue mongi slim La marsa Plage La Marsa Plage Grand Tunis Les coordonnées: 36.884834, 10.332706"
ALLO MARSA,"ADRESSE: La Marsa Plage 2070 près de la gare du train et Centre Zephyr direction La Plazza Grand Tunis Les coordonnées: 36.883011, 10.333603"
NORTH SHORE,"ADRESSE: La Marsa Corniche, Rue Mongi Slim près de Hotel Dar El Marsa Grand Tunis Les coordonnées: 36.88438, 10.332353"
Restaurant Jasmin,"ADRESSE: Ezzhara Ville Grand Tunis Les coordonnées: 36.7421, 10.299937"
Mamma Time Marsa,"ADRESSE: La marsa rue imem ibno hanifa Grand Tunis Les coordonnées: 36.882088, 10.332473"
Coste Sidi Bou Said,"ADRESSE: avenue 14 janvier- Sidi Bou Said Grand Tunis Les coordonnées: 36.871906, 10.341431"
L'Atelier Du Pizzaiolo,"ADRESSE: à carthage prés de monoprix carthage Grand Tunis Les coordonnées: 36.848969, 10.32643"
COOK'S Sidi Bou,"ADRESSE: sidi bou said :Avenue Habib Bourguiba, rue de Maroc , Sidi Bou Saïd coté Restaurant Keens café et salle de sport sidi bou gym Grand Tunis Les coordonnées: 36.869308, 10.343358"
Keens Cafe,"ADRESSE: 20 Rue la Goulette sidi bou said Grand Tunis Les coordonnées: 36.869198, 10.343033"
Big Time,"ADRESSE: 22 Rue el qouds , sidi bou said Grand Tunis Les coordonnées: 36.872448, 10.338973"
NOODLE MAN,"ADRESSE: 23 rue 20 mars 1956 , a coté Larcuss kram a coté Koucha Bellar Grand Tunis Les coordonnées: 36.836452, 10.320836"
Dar Nafissa,"ADRESSE: La Goulette, 35، Avenue Franklin Roosevelt, Grand Tunis Les coordonnées: 36.816853, 10.305256"
Plan B La Marsa,"ADRESSE: Avenue Ali Balhwene La Marsa Grand Tunis Les coordonnées: 36.879452, 10.327701"
Pizz'Art,"ADRESSE: 6 Avenue Abderrahmen Mami Grand Tunis Les coordonnées: 36.877796, 10.329438"
LE GREC,"ADRESSE: Rue Imam Chafai El Marsa, Tunis, Tunisia La Marsa Grand Tunis Les coordonnées: 36.882095, 10.332109"
Hangar,"ADRESSE: Avenue taieb el mhiri Marsa Grand Tunis Les coordonnées: 36.889126, 10.322008"
QIAN HOUSE,"ADRESSE: N°35 Rue Mohamed Bairem 5، La Marsa les pins à coté de terrain de football et tennis club Grand Tunis Les coordonnées: 36.869556, 10.31913"
EL Mida,"ADRESSE: 3 rue des oeillets, La Marsa, Tunisia Grand Tunis Les coordonnées: 36.885471, 10.324048"
Lapero,"ADRESSE: 13, rue mohamed taher ben achour, 2070 , La Marsa en face de l’hôpital des force de sécurité intérieure Grand Tunis Les coordonnées: 36.879021, 10.326165"
Pizza Go,"ADRESSE: La Marsa 3 rue des oeillets, La Marsa, Tunisia Grand Tunis Les coordonnées: 36.885471, 10.324048"
Geek La Marsa,"ADRESSE: Rue des Narcisses, Marsa, a coté restaurant el MIda Grand Tunis Les coordonnées: 36.885403, 10.324269"
LE CARIBOU,"ADRESSE: le caribou rue de stade La Marsa Prés de stade marsa Grand Tunis Les coordonnées: 36.874352, 10.318106"
Baguette Kram,"ADRESSE: Avenue Habib Bourghuiba, La Goulette Tunis Les coordonnées: 36.830231, 10.314322"
Baguette Lac Miami,"ADRESSE: Rue Lac Leman , Les berges du lac 1 Grand Tunis Les coordonnées: 36.838692, 10.239414"
Papa John's Lac Miami,"ADRESSE: Lac Miami Grand Tunis Les coordonnées: 36.830891, 10.223181"
Pizza Matito,"ADRESSE: 4 avenue de la qualité de la vie riadh el andalous Ariana Grand Tunis Les coordonnées: 36.887482, 10.165561"
Mezza Maison,"ADRESSE: Gammarth Zone Touristique près de Le loft et Salle des Fêtes Massaya Odeon Grand Tunis Les coordonnées: 36.926495, 10.278619"
Top Kapi Manar,"ADRESSE: Manar 2 - Avenue slimen ben slimen colisée soula et en face jardin manar 2 Grand Tunis Les coordonnées: 36.838268, 10.156659"
Candy Crunch,"ADRESSE: ,Manar 2 , 20 avenue mohieddiene klibi Grand Tunis Les coordonnées: 36.840248, 10.162086"
Baguette Ennaser,"ADRESSE: Avenue Hedi Nouira , cité ennaser Grand Tunis Les coordonnées: 36.861404, 10.164142"
CARAVANE 2B,"ADRESSE: menzah 6, annex 2 en face tubertina en face tebertina, a coté magasin et monoprix derrière pâtisserie lobna Tunis Les coordonnées: 36.846878, 10.16557"
PIZZERIA CESARIO,"ADRESSE: Manar 1 rue mouhamed abdelwaheb , 1004 Grand Tunis Les coordonnées: 36.835392, 10.136273"
Papa John's El Manar City,"ADRESSE: El manar 1 X3 Grand Tunis Les coordonnées: 36.848583, 10.1313"
Farm Ranch Manar,"ADRESSE: 20 Rue de Valence, Tunis Grand Tunis Les coordonnées: 36.838413, 10.144334"
Papa John's Menzah,"ADRESSE: Station Shell , El menzeh Grand Tunis Les coordonnées: 36.848541, 10.131237"
Baguette Megrine,"ADRESSE: Avenue Habib Bourguiba, Megrine Tunis Les coordonnées: 36.768059, 10.240041"
Class-Croûte,"ADRESSE: 18 avenue Habibi Borguiba megrine Magasin N°2 Tunis Les coordonnées: 36.768429, 10.237792"
Juste En Face,"ADRESSE: Megrine, rue principale Tunis Les coordonnées: 36.768345, 10.238189"
X Time,"ADRESSE: 75 Avenue Habib Bourguiba Mégrine-Coteaux Tunis Les coordonnées: 36.771454, 10.22822"
Legend's Megrine,"ADRESSE: 17, Avenue Habib Bourguiba Mégrine Tunis Les coordonnées: 36.768211, 10.239333"
Big Heart,"ADRESSE: 01 Ibn Eljazar, Mégrine Tunis Les coordonnées: 36.771008, 10.231398"
Papa John's Megrine,"ADRESSE: 13 Avenue Habib Bourguiba, Megrine  Grand Tunis Les coordonnées: 36.76825, 10.239195"
Santiago,"ADRESSE: 12 Rue De l'environnement Mégrine Tunis Les coordonnées: 36.774612, 10.227994"
Le Calao,"ADRESSE: 13, avenue farhart hached sidi rézig mégrine Tunis Les coordonnées: 36.765198, 10.244665"
EL KOUJINA,"ADRESSE: 53 Avenue Habib Bourguiba, Megrine, Megrine, Tunisie a coté Jardin Public de Megrine Tunis Les coordonnées: 36.769806, 10.233702"
Fun Food,"ADRESSE: Nouvelle medina prés medina medicale a coté Laboratoire DHOUIB Tunis Les coordonnées: 36.742416, 10.251298"
La Coccinelle,"ADRESSE: Rue Habib Thamer , Mourouj 1 Grand Tunis Les coordonnées: 36.732964, 10.206846"
Baguette Mourouj,"ADRESSE: Station Shell Grand Tunis Les coordonnées: 36.744549, 10.264501"
Pizza Rais,"ADRESSE: El Mourouj prés de Lavage Voitures JAJA Grand Tunis Les coordonnées: 36.733063, 10.204077"
L'oscar,"ADRESSE: El Mourouj 3 Avenue Martyrs à coté LC Walkiki et Pizzeria Caliméro Grand Tunis Les coordonnées: 36.726246, 10.210597"
Class'La Croûte,"ADRESSE: Mourouj 6 derrière Magasin Général Grand Tunis Les coordonnées: 36.710537, 10.212633"
